representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,bradley_terry,3,mae,1.1594876359809527,1.220193496617404,0.060705860636451045,0.023576793210072947,0.1312405911900781,0,11,False
clip-vit-b32,bradley_terry,3,r2,0.6473333069875781,0.6210531692446172,-0.026280137742960837,-0.02990999937950012,-0.022346617344186973,0,11,True
clip-vit-b32,bradley_terry,3,pearson,0.809644716907098,0.7880720615969167,-0.021572655310181446,-0.02449729125288659,-0.019085098913226364,0,11,True
clip-vit-b32,bradley_terry,3,spearman,0.7748229324120829,0.761597482925174,-0.013225449486908897,-0.015590116684767757,-0.010756776200081497,0,11,True
clip-vit-b32,bradley_terry,3,kendall,0.5886122621843872,0.573926876582393,-0.014685385601994182,-0.016685332248782686,-0.01254383284698978,0,11,True
clip-vit-b32,bradley_terry,4,pair_accuracy,0.7979587019483262,0.7898176479897459,-0.008141053958580325,-0.009702121925143433,-0.0067870684465924196,0,11,True
clip-vit-b32,bradley_terry,4,mae,1.1594876359809527,1.2127224282784896,0.05323479229753669,0.02129348783330479,0.11331989025527789,0,11,False
clip-vit-b32,bradley_terry,4,r2,0.6473333069875781,0.6232073205535857,-0.0241259864339925,-0.027061546437914717,-0.02096239565792383,0,11,True
clip-vit-b32,bradley_terry,4,pearson,0.809644716907098,0.7893994706358062,-0.02024524627129182,-0.022441942354880194,-0.018108106275262915,0,11,True
clip-vit-b32,bradley_terry,4,spearman,0.7748229324120829,0.7626405776490928,-0.012182354762990101,-0.015038341577692158,-0.009511334204307874,0,11,True
clip-vit-b32,bradley_terry,4,kendall,0.5886122621843872,0.5754822671970226,-0.013129994987364698,-0.015903903393423752,-0.010616349241412535,0,11,True
clip-vit-b32,bradley_terry,5,pair_accuracy,0.7979587019483262,0.7916706283671839,-0.006288073581142442,-0.00806915795308245,-0.004271665322005376,1,11,True
clip-vit-b32,bradley_terry,5,mae,1.1594876359809527,1.216158206354488,0.05667057037353517,0.016516000100157437,0.13087891562418513,1,11,False
clip-vit-b32,bradley_terry,5,r2,0.6473333069875781,0.6266592055979753,-0.020674101389602795,-0.02528834521410513,-0.015221177872669281,1,11,True
clip-vit-b32,bradley_terry,5,pearson,0.809644716907098,0.7917104710673701,-0.017934245839727973,-0.02032103109714287,-0.015295206342250749,0,11,True
clip-vit-b32,bradley_terry,5,spearman,0.7748229324120829,0.7646448309088555,-0.010178101503227328,-0.012599147254673185,-0.007671489935829778,0,11,True
clip-vit-b32,bradley_terry,5,kendall,0.5886122621843872,0.5773355810660046,-0.011276681118382597,-0.01364483277380781,-0.008759711500712712,0,11,True
clip-vit-b32,bradley_terry,6,pair_accuracy,0.7979587019483262,0.7918295753604244,-0.006129126587901828,-0.006696332191460216,-0.005599998256276723,0,11,True
clip-vit-b32,bradley_terry,6,mae,1.1594876359809527,1.209685987775976,0.05019835179502317,0.018995831960981528,0.10917448841712703,0,11,False
clip-vit-b32,bradley_terry,6,r2,0.6473333069875781,0.6256678124762073,-0.021665494511370807,-0.024560486364549206,-0.018830367135677727,0,11,True
clip-vit-b32,bradley_terry,6,pearson,0.809644716907098,0.7909544061126724,-0.018690310794425593,-0.020494309192636662,-0.01701559243558889,0,11,True
clip-vit-b32,bradley_terry,6,spearman,0.7748229324120829,0.7647832448968337,-0.010039687515249106,-0.011921073354838446,-0.00830978763229399,0,11,True
clip-vit-b32,bradley_terry,6,kendall,0.5886122621843872,0.5775756757285259,-0.011036586455861393,-0.012634200590894717,-0.00956593615149915,0,11,True
clip-vit-b32,bradley_terry,7,pair_accuracy,0.7979587019483262,0.7922621510594826,-0.005696550888843708,-0.006922531273959522,-0.00457872908058176,0,11,True
clip-vit-b32,bradley_terry,7,mae,1.1594876359809527,1.2077565258199519,0.048268889838998956,0.01515146785161711,0.1102751069583676,0,11,False
clip-vit-b32,bradley_terry,7,r2,0.6473333069875781,0.6288521958659156,-0.01848111112166269,-0.022516271662882312,-0.014588982565384476,0,11,True
clip-vit-b32,bradley_terry,7,pearson,0.809644716907098,0.793048557104921,-0.016596159802177345,-0.018983528281005344,-0.014170611918416192,0,11,True
clip-vit-b32,bradley_terry,7,spearman,0.7748229324120829,0.7656256539112771,-0.0091972785008057,-0.011263338981036044,-0.007196272075536455,0,11,True
clip-vit-b32,bradley_terry,7,kendall,0.5886122621843872,0.5785707976805949,-0.010041464503792256,-0.012018149001257384,-0.008050458809846341,0,11,True
clip-vit-b32,bradley_terry,8,pair_accuracy,0.7979587019483262,0.7913927793748105,-0.006565922573515797,-0.007376784398258449,-0.0058093622018089534,0,11,True
clip-vit-b32,bradley_terry,8,mae,1.1594876359809527,1.213350481336767,0.0538628453558142,0.016260210180824415,0.12559078392657383,0,11,False
clip-vit-b32,bradley_terry,8,r2,0.6473333069875781,0.6267511620437337,-0.020582144943844572,-0.02420904832546441,-0.017308888069046156,0,11,True
clip-vit-b32,bradley_terry,8,pearson,0.809644716907098,0.7916163475093166,-0.01802836939778144,-0.020241919346809207,-0.015729388354320622,0,11,True
clip-vit-b32,bradley_terry,8,spearman,0.7748229324120829,0.7648366370686422,-0.009986295343440503,-0.012132539132562516,-0.00799424801656933,0,11,True
clip-vit-b32,bradley_terry,8,kendall,0.5886122621843872,0.578270383277829,-0.010341878906558103,-0.012143790009017958,-0.008579568286056292,0,11,True
clip-vit-b32,bradley_terry,9,pair_accuracy,0.7979587019483262,0.7923030799952527,-0.005655621953073554,-0.00737173642842547,-0.0037482439367739094,1,11,True
clip-vit-b32,bradley_terry,9,mae,1.1594876359809527,1.203566428748044,0.04407879276709128,0.013648534457791921,0.09996864584359276,0,11,False
clip-vit-b32,bradley_terry,9,r2,0.6473333069875781,0.6304620640201112,-0.01687124296746684,-0.020799879746565764,-0.012678397295351676,0,11,True
clip-vit-b32,bradley_terry,9,pearson,0.809644716907098,0.7940506591470938,-0.015594057760004443,-0.018101269029989375,-0.013391221656243442,0,11,True
clip-vit-b32,bradley_terry,9,spearman,0.7748229324120829,0.7666953938520661,-0.00812753856001669,-0.011513059082388382,-0.005530413820490148,0,11,True
clip-vit-b32,bradley_terry,9,kendall,0.5886122621843872,0.5801048471861456,-0.00850741499824149,-0.011237234665922639,-0.006320949240421192,0,11,True
clip-vit-b32,bradley_terry,10,pair_accuracy,0.7979587019483262,0.7919477412191082,-0.006010960729218181,-0.007430079314056287,-0.0044852675928489915,0,11,True
clip-vit-b32,bradley_terry,10,mae,1.1594876359809527,1.2110893357883799,0.05160169980742713,0.016938384771347004,0.11692550674080847,0,11,False
clip-vit-b32,bradley_terry,10,r2,0.6473333069875781,0.6270926402633126,-0.02024066672426558,-0.023469620442624357,-0.01658996604071115,0,11,True
clip-vit-b32,bradley_terry,10,pearson,0.809644716907098,0.7918419091824384,-0.017802807724659607,-0.02022854219035733,-0.015503015740933008,0,11,True
clip-vit-b32,bradley_terry,10,spearman,0.7748229324120829,0.7639002173986768,-0.010922715013406055,-0.013619102037202109,-0.008619607832549408,0,11,True
clip-vit-b32,bradley_terry,10,kendall,0.5886122621843872,0.5774739030655237,-0.011138359118863446,-0.013488951598936663,-0.009076886870472249,0,11,True
resnet50,hinge,1,pair_accuracy,0.7620580951744138,0.7414744845242435,-0.02058361065017048,-0.023025366933520537,-0.01829455789740878,0,11,True
resnet50,hinge,1,mae,1.3459311718290503,1.4896080629392103,0.1436768911101601,0.04820011449131101,0.32325969254428677,0,11,False
resnet50,hinge,1,r2,0.5242513605285302,0.4635989227157717,-0.060652437812758524,-0.07064080561419023,-0.049620390963180064,0,11,True
resnet50,hinge,1,pearson,0.7446593807609435,0.6809487050868729,-0.06371067567407064,-0.06920013135860585,-0.05802693271671568,0,11,True
resnet50,hinge,1,spearman,0.7007640966827439,0.6597048932365003,-0.04105920344624352,-0.04448121237833431,-0.03731959535548012,0,11,True
resnet50,hinge,1,kendall,0.5186168233341975,0.47979495611814876,-0.0388218672160488,-0.04221817000258092,-0.03543582901233821,0,11,True
resnet50,hinge,2,pair_accuracy,0.7620580951744138,0.7489329205766224,-0.01312517459779159,-0.014473001684051181,-0.011722350013347123,0,11,True
resnet50,hinge,2,mae,1.3459311718290503,1.4351667685942215,0.08923559676517138,0.032592308738014934,0.19328495232896362,0,11,False
resnet50,hinge,2,r2,0.5242513605285302,0.4861380372450373,-0.03811332328349295,-0.045199437324073374,-0.030072466780977143,0,11,True
resnet50,hinge,2,pearson,0.7446593807609435,0.6973512291389199,-0.04730815162202373,-0.05226238995745575,-0.04321692772205342,0,11,True
resnet50,hinge,2,spearman,0.7007640966827439,0.6725450873125584,-0.02821900937018553,-0.0319991515735568,-0.024860841364750655,0,11,True
resnet50,hinge,2,kendall,0.5186168233341975,0.49221087482666004,-0.026405948507537528,-0.0290878019061463,-0.023827682847413927,0,11,True
resnet50,hinge,3,pair_accuracy,0.7620580951744138,0.7517831335226869,-0.010274961651727033,-0.01184507618002703,-0.008642918967630949,0,11,True
resnet50,hinge,3,mae,1.3459311718290503,1.4279825828292152,0.08205141100016505,0.024471743337132725,0.18889880783178578,0,11,False
resnet50,hinge,3,r2,0.5242513605285302,0.4962588305238979,-0.027992530004632418,-0.03498008870331391,-0.020575761857510654,0,11,True
resnet50,hinge,3,pearson,0.7446593807609435,0.7046754752537551,-0.03998390550718862,-0.043707115731526816,-0.03628813901944644,0,11,True
resnet50,hinge,3,spearman,0.7007640966827439,0.6799908752643592,-0.020773221418384637,-0.023207332991646443,-0.017791585860971546,0,11,True
resnet50,hinge,3,kendall,0.5186168233341975,0.49898064563260225,-0.019636177701595224,-0.021674410190212275,-0.017135186749231496,0,11,True
resnet50,hinge,4,pair_accuracy,0.7620580951744138,0.7544742301298264,-0.007583865044587564,-0.00915650934616735,-0.0058325816263418255,0,11,True
resnet50,hinge,4,mae,1.3459311718290503,1.4087158181450585,0.06278464631600818,0.016046611504121278,0.14787879750132574,1,11,False
resnet50,hinge,4,r2,0.5242513605285302,0.5066978883679003,-0.017553472160629892,-0.024484927917683953,-0.009939898811525546,2,11,True
resnet50,hinge,4,pearson,0.7446593807609435,0.712043471153112,-0.03261590960783179,-0.0357843296579995,-0.029674918993151982,0,11,True
resnet50,hinge,4,spearman,0.7007640966827439,0.6857443376732586,-0.015019759009485297,-0.017103981298679603,-0.012881277461988933,0,11,True
resnet50,hinge,4,kendall,0.5186168233341975,0.5041186267545608,-0.014498196579636862,-0.01620598257429169,-0.012780260733342817,0,11,True
resnet50,hinge,5,pair_accuracy,0.7620580951744138,0.7555817058608835,-0.006476389313530501,-0.007536756280079995,-0.005447546595112626,0,11,True
resnet50,hinge,5,mae,1.3459311718290503,1.3983314291997389,0.05240025737068865,0.012341483208266188,0.12426849193193672,1,11,False
resnet50,hinge,5,r2,0.5242513605285302,0.5118397559763029,-0.01241160455222731,-0.020316745361344882,-0.004678240884299714,2,11,True
resnet50,hinge,5,pearson,0.7446593807609435,0.7155701567422444,-0.029089224018699136,-0.03306020019226892,-0.025398327715802485,0,11,True
resnet50,hinge,5,spearman,0.7007640966827439,0.6885571746558697,-0.012206922026874033,-0.014568928265885859,-0.009396640990791164,0,11,True
resnet50,hinge,5,kendall,0.5186168233341975,0.5071594934277313,-0.011457329906466302,-0.013538668681423477,-0.00908612257390029,0,11,True
