task,category,target,mode,objective,N,pearson,spearman,pair_accuracy
Abstract Liking,abstract,liking,within,hinge,1,0.215292942151126,0.20846685959730846,0.5832658227848101
Abstract Liking,abstract,liking,within,hinge,2,0.23797599664174754,0.23157539867996804,0.5905569620253164
Abstract Liking,abstract,liking,within,hinge,3,0.23281449275435762,0.2240385211061668,0.5904050632911393
Abstract Liking,abstract,liking,within,hinge,4,0.24313059960233774,0.23610026011185192,0.5948354430379746
Abstract Liking,abstract,liking,within,hinge,5,0.2643301432622183,0.2528212177413753,0.6009620253164557
Abstract Liking,abstract,liking,within,hinge,6,0.24714923728452048,0.2393240699522742,0.5958227848101266
Abstract Liking,abstract,liking,within,hinge,7,0.2483813972549433,0.24020389716645207,0.5933164556962025
Abstract Liking,abstract,liking,within,hinge,8,0.24550719343766444,0.23773513079945682,0.5914177215189873
Abstract Liking,abstract,liking,within,hinge,9,0.2518067445712234,0.24451503567483662,0.5994177215189873
Abstract Liking,abstract,liking,within,hinge,10,0.2528562916948067,0.24356639644334643,0.593873417721519
Abstract Liking,abstract,liking,within,regression,0,0.22596467479189414,0.21956260642362685,0.5914683544303797
Representational Beauty,representational,beauty,cross,bradley_terry,1,0.3977257489639419,0.3913602310539012,0.6559999999999999
Representational Beauty,representational,beauty,cross,bradley_terry,2,0.4011290010404946,0.3961159737045037,0.6614358974358975
Representational Beauty,representational,beauty,cross,bradley_terry,3,0.41590853234960035,0.41277114912694995,0.6633076923076924
Representational Beauty,representational,beauty,cross,bradley_terry,4,0.41886392063511724,0.4137288564593174,0.6664358974358975
Representational Beauty,representational,beauty,cross,bradley_terry,5,0.42355340195798136,0.4153537752981864,0.667025641025641
Representational Beauty,representational,beauty,cross,bradley_terry,6,0.42509627168155023,0.4189356821931999,0.6685897435897437
Representational Beauty,representational,beauty,cross,bradley_terry,7,0.4262179787667765,0.4180629239001467,0.6701538461538462
Representational Beauty,representational,beauty,cross,bradley_terry,8,0.4247292327030738,0.4151326307555262,0.6702051282051282
Representational Beauty,representational,beauty,cross,bradley_terry,9,0.4245776740335168,0.42161606291344406,0.6723076923076923
Representational Beauty,representational,beauty,cross,bradley_terry,10,0.4222334076285733,0.41834468679018527,0.6716153846153845
Representational Beauty,representational,beauty,cross,hinge,1,0.39689378207632214,0.38783345210688863,0.6534358974358975
Representational Beauty,representational,beauty,cross,hinge,2,0.40637635908218384,0.39435072351865813,0.6629487179487179
Representational Beauty,representational,beauty,cross,hinge,3,0.4096476807665084,0.4039713727802049,0.6608461538461539
Representational Beauty,representational,beauty,cross,hinge,4,0.41031778786247514,0.4041916917708848,0.6624102564102564
Representational Beauty,representational,beauty,cross,hinge,5,0.42778008307279153,0.41742908922471395,0.6673076923076923
Representational Beauty,representational,beauty,cross,hinge,6,0.4251287015912476,0.41846392076120886,0.6683076923076924
Representational Beauty,representational,beauty,cross,hinge,7,0.4186066419148455,0.40738404719984445,0.6647435897435898
Representational Beauty,representational,beauty,cross,hinge,8,0.42409253158978716,0.4146507622187611,0.6697948717948718
Representational Beauty,representational,beauty,cross,hinge,9,0.4231930129105206,0.417346429868571,0.6694615384615384
Representational Beauty,representational,beauty,cross,hinge,10,0.4245426452247261,0.41649517388305035,0.6691282051282051
Representational Beauty,representational,beauty,cross,regression,0,0.4057303175952325,0.4042626832475946,0.6606666666666666
Representational Beauty,representational,beauty,within,bradley_terry,1,0.4253143940152729,0.411650411011654,0.6639487179487179
Representational Beauty,representational,beauty,within,bradley_terry,2,0.44729174217185,0.43812624679630424,0.6772820512820513
Representational Beauty,representational,beauty,within,bradley_terry,3,0.43637712367195036,0.42972988211245405,0.6739487179487179
Representational Beauty,representational,beauty,within,bradley_terry,4,0.4488949186825903,0.44020422847125784,0.6768461538461539
Representational Beauty,representational,beauty,within,bradley_terry,5,0.444159240072363,0.43599814341035675,0.6758461538461539
Representational Beauty,representational,beauty,within,bradley_terry,6,0.4483281440894211,0.43625433368065686,0.6727692307692308
Representational Beauty,representational,beauty,within,bradley_terry,7,0.4374592310070341,0.426657830950077,0.6756153846153846
Representational Beauty,representational,beauty,within,bradley_terry,8,0.44517539617493584,0.4334599267012584,0.6734358974358975
Representational Beauty,representational,beauty,within,bradley_terry,9,0.43869408092834195,0.4296484822566153,0.6753846153846154
Representational Beauty,representational,beauty,within,bradley_terry,10,0.45652723313786964,0.4452214904195755,0.683923076923077
Representational Beauty,representational,beauty,within,hinge,1,0.4244462137364644,0.4131243278318157,0.6654615384615384
Representational Beauty,representational,beauty,within,hinge,2,0.4455485385625616,0.4385117151116777,0.6799743589743589
Representational Beauty,representational,beauty,within,hinge,3,0.4348746628589265,0.42552789671714414,0.6693076923076923
Representational Beauty,representational,beauty,within,hinge,4,0.4435957173690679,0.4318144190209216,0.6741282051282051
Representational Beauty,representational,beauty,within,hinge,5,0.4371480940485719,0.42651237058283065,0.6700512820512821
Representational Beauty,representational,beauty,within,hinge,6,0.4416661823565744,0.43155841897324754,0.6717435897435897
Representational Beauty,representational,beauty,within,hinge,7,0.43668602012461294,0.4252074234599639,0.6748461538461538
Representational Beauty,representational,beauty,within,hinge,8,0.4432465114522819,0.42993319545677616,0.6713589743589743
Representational Beauty,representational,beauty,within,hinge,9,0.44352142662356075,0.4356252382047774,0.6758717948717948
Representational Beauty,representational,beauty,within,hinge,10,0.44818313845936686,0.43621745499085174,0.6796410256410256
Representational Beauty,representational,beauty,within,regression,0,0.423044220345738,0.41141416670677217,0.6664871794871794
Representational Liking,representational,liking,cross,bradley_terry,1,0.20269942557927603,0.20021693502012547,0.5813333333333334
Representational Liking,representational,liking,cross,bradley_terry,2,0.19563984452506158,0.19738594630300696,0.5771025641025641
Representational Liking,representational,liking,cross,bradley_terry,3,0.21386606433389715,0.21127283467429878,0.582974358974359
Representational Liking,representational,liking,cross,bradley_terry,4,0.220752550991898,0.21443282775274536,0.5861282051282051
Representational Liking,representational,liking,cross,bradley_terry,5,0.21859550514251164,0.2175299845323483,0.5875128205128205
Representational Liking,representational,liking,cross,bradley_terry,6,0.20623311971170208,0.20835639243666082,0.5813076923076923
Representational Liking,representational,liking,cross,bradley_terry,7,0.21290363338385074,0.21079452930460613,0.5827692307692307
Representational Liking,representational,liking,cross,bradley_terry,8,0.20450687875153245,0.20404355960152443,0.5821025641025641
Representational Liking,representational,liking,cross,bradley_terry,9,0.21510611390389842,0.21441010118791262,0.5862051282051283
Representational Liking,representational,liking,cross,bradley_terry,10,0.20702319206257125,0.21016854374534702,0.5844871794871795
Representational Liking,representational,liking,cross,hinge,1,0.20113164825267404,0.19572109416042302,0.5808717948717949
Representational Liking,representational,liking,cross,hinge,2,0.19379986141628872,0.19608374230615952,0.5766923076923077
Representational Liking,representational,liking,cross,hinge,3,0.20929029037204597,0.2078630906607794,0.5825384615384616
Representational Liking,representational,liking,cross,hinge,4,0.21704939518490104,0.21171774702995289,0.5843846153846154
Representational Liking,representational,liking,cross,hinge,5,0.21083934606565433,0.20914097871342044,0.583025641025641
Representational Liking,representational,liking,cross,hinge,6,0.2115188694481327,0.20822760638792875,0.5813589743589743
Representational Liking,representational,liking,cross,hinge,7,0.21549108281959548,0.21385943338583333,0.5859230769230769
Representational Liking,representational,liking,cross,hinge,8,0.2072151177353828,0.2071474902422542,0.582025641025641
Representational Liking,representational,liking,cross,hinge,9,0.21233227848297243,0.21484088829320516,0.5846410256410256
Representational Liking,representational,liking,cross,hinge,10,0.20992208768612752,0.20912678759346037,0.5819743589743589
Representational Liking,representational,liking,cross,regression,0,0.19957516305736586,0.19586715859191067,0.5761794871794872
Representational Liking,representational,liking,within,bradley_terry,1,0.21841284258795213,0.21711535190841594,0.5841538461538461
Representational Liking,representational,liking,within,bradley_terry,2,0.24205681512276897,0.23854154897355698,0.5924358974358974
Representational Liking,representational,liking,within,bradley_terry,3,0.25295286676523576,0.24689031894592375,0.5986923076923076
Representational Liking,representational,liking,within,bradley_terry,4,0.24295825717379557,0.2382704185995395,0.5914615384615385
Representational Liking,representational,liking,within,bradley_terry,5,0.25958685293380085,0.2552882683299617,0.604025641025641
Representational Liking,representational,liking,within,bradley_terry,6,0.25105087372758134,0.24250683777972346,0.5935641025641025
Representational Liking,representational,liking,within,bradley_terry,7,0.24702590116368356,0.24808988368466575,0.5990512820512821
Representational Liking,representational,liking,within,bradley_terry,8,0.25001210248186223,0.24905090247728254,0.5957179487179487
Representational Liking,representational,liking,within,bradley_terry,9,0.2542991412847766,0.2505515621037493,0.5991538461538461
Representational Liking,representational,liking,within,bradley_terry,10,0.25205527850646375,0.24549327391417286,0.5974871794871794
Representational Liking,representational,liking,within,hinge,1,0.21957217771397894,0.2234834098330201,0.5886153846153845
Representational Liking,representational,liking,within,hinge,2,0.24882695726812357,0.24689947438281884,0.5986666666666667
Representational Liking,representational,liking,within,hinge,3,0.2553126887477174,0.24892513422513624,0.5998717948717949
Representational Liking,representational,liking,within,hinge,4,0.23930939586060276,0.23637635264388046,0.5907179487179487
Representational Liking,representational,liking,within,hinge,5,0.2506826701285354,0.24547569864416158,0.5985897435897436
Representational Liking,representational,liking,within,hinge,6,0.24896022787050812,0.24207845980242587,0.5942307692307692
Representational Liking,representational,liking,within,hinge,7,0.2494532857752529,0.2464931465282617,0.5995641025641025
Representational Liking,representational,liking,within,hinge,8,0.24935263330771193,0.24559273455318734,0.5953333333333333
Representational Liking,representational,liking,within,hinge,9,0.25544733878714054,0.24732934366768358,0.5978974358974358
Representational Liking,representational,liking,within,hinge,10,0.2545108802723883,0.2531731597729265,0.6005128205128205
Representational Liking,representational,liking,within,regression,0,0.21201168021122158,0.20754174078512022,0.5805384615384616
