dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,0,140,20,76,700,100,760,18,0.6815789473684211,1.244865894317627,2.1785640716552734,0.21037980605741347,0.4779608153803565,0.45132765619195137,0.3396038453126076
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,6,0,140,20,76,840,100,760,16,0.6723684210526316,1.2176200151443481,2.1776816844940186,0.2106995665570356,0.4734739053310477,0.42680851374080137,0.3141335569141621
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,7,0,140,20,76,980,100,760,16,0.6736842105263158,1.2128932476043701,2.1578497886657715,0.21788773197347144,0.49522238395002205,0.44138633438041186,0.3272546145739674
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,8,0,140,20,76,1120,100,760,17,0.725,1.1797816753387451,1.9689439535140991,0.28635660877335556,0.5459230771084549,0.5673654376728622,0.41601471050794436
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,9,0,140,20,76,1260,100,760,16,0.6973684210526315,1.235690951347351,2.129297971725464,0.2282364708526744,0.4886977440874034,0.47100144851646863,0.34577846068192775
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,10,0,140,20,76,1400,100,760,16,0.6855263157894737,1.2166435718536377,2.0549440383911133,0.25518598334257325,0.5068538922532753,0.4968850861182221,0.37124874908037336
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,1,140,20,76,0,0,760,62,0.6736842105263158,1.2602123022079468,2.7487919330596924,-0.1603465566880402,0.4142490847334557,0.4480923563609177,0.3346425293489381
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,1,140,20,76,140,20,760,17,0.743421052631579,1.1297175884246826,1.8694534301757812,0.21084827020334684,0.537002770244726,0.5403626070938394,0.39150486499031917
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,1,140,20,76,280,40,760,17,0.6802631578947368,1.1458234786987305,1.9815380573272705,0.16353399530427337,0.4813207270781277,0.48515889630740106,0.35615800769973094
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,1,140,20,76,420,60,760,16,0.6973684210526315,1.1343433856964111,1.8746988773345947,0.2086340260541264,0.492003962805029,0.4965832292042924,0.36076846734632945
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,1,140,20,76,560,80,760,16,0.7026315789473684,1.1331357955932617,1.9796160459518433,0.16434519244216916,0.46447729681904093,0.4806975692272281,0.353084367935332
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,1,140,20,76,700,99,760,29,0.6960526315789474,1.1287492513656616,1.9508460760116577,0.1764901263075056,0.5287253417482134,0.5147759929050597,0.3745998462861248
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,1,140,20,76,840,100,760,17,0.6763157894736842,1.2855396270751953,2.2281532287597656,0.05943050716177911,0.4289201089359267,0.462171248361588,0.33387411940783845
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,1,140,20,76,980,100,760,16,0.7,1.2134720087051392,2.011763572692871,0.15077494763524746,0.46027711871647625,0.48000265846707657,0.35462118781753144
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,1,140,20,76,1120,100,760,17,0.6868421052631579,1.1756470203399658,1.9963312149047852,0.15728934668928318,0.47579889040935086,0.4994184651057106,0.3630736971696286
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,1,140,20,76,1260,100,760,17,0.6960526315789474,1.1936744451522827,2.06681227684021,0.12753720656446432,0.4801681076787645,0.48358839798945846,0.34616867846543425
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,1,140,20,76,1400,100,760,16,0.7039473684210527,1.1173105239868164,1.8034042119979858,0.23872954202132768,0.5102647030871594,0.4934005379227983,0.36537892699292784
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,1,140,20,76,140,20,760,32,0.7421052631578947,1.1292428970336914,1.7785907983779907,0.24920410741303822,0.537066065986437,0.5576380885912069,0.4114835234589125
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,1,140,20,76,280,40,760,17,0.6894736842105263,1.1659759283065796,1.9836753606796265,0.16263170534927485,0.4890943506261465,0.509480772912705,0.37536825622722453
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,1,140,20,76,420,60,760,16,0.6828947368421052,1.1333513259887695,1.8468828201293945,0.22037599426087973,0.4948718117666431,0.476111158210228,0.3438634486421351
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,1,140,20,76,560,80,760,16,0.7052631578947368,1.1817611455917358,2.0449726581573486,0.13675643948500016,0.4756147323614641,0.5017950599054289,0.36845256675732685
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,1,140,20,76,700,99,760,17,0.6868421052631579,1.1953765153884888,2.1247804164886475,0.10306717338295801,0.4921226499573095,0.494164939758965,0.36000005740522967
