phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,3,140,20,79,840,100,790,42,22,0.5670886075949367,2.3970530033111572,6.681351661682129,-0.09055121951882761,0.15781646366303903,0.13079049523419084,0.10283572165055127
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,4,140,20,79,840,100,790,40,20,0.5974683544303797,2.3030436038970947,6.628237247467041,0.05091482525661695,0.2320880446495721,0.21048365587835055,0.1553281904320027
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,5,140,20,79,840,100,790,25,5,0.5088607594936709,2.272888660430908,6.435116767883301,-0.1609401571090061,-0.00869852802134119,0.01995633647324797,0.012714608889177295
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,6,140,20,79,840,100,790,27,7,0.479746835443038,2.5414271354675293,8.085481643676758,-0.37692350744567493,-0.0245943039044505,-0.04000002754306832,-0.024241116407696387
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,7,140,20,79,840,100,790,25,1,0.5,2.1554553508758545,6.227515697479248,-0.11773627023924216,0.010216521727215877,0.035012243961478735,0.016679412754901757
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,8,140,20,79,840,100,790,25,1,0.4962025316455696,2.293677568435669,6.280670642852783,-0.027784948270759058,0.03314152924394875,0.02556417755906271,0.01571017711993139
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,6,9,140,20,79,840,100,790,27,7,0.4316455696202532,2.3036463260650635,6.529838562011719,0.010568046817320598,-0.17477132960993913,-0.15314583114197663,-0.11246891036559115
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,0,140,20,79,980,100,790,25,1,0.5367088607594936,2.2332637310028076,5.939481258392334,0.0019842824786469038,0.05220973111863714,0.05952735815144127,0.04121963729732422
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,1,140,20,79,980,100,790,41,21,0.5949367088607594,2.2788381576538086,6.181573867797852,0.04982020020041311,0.23498287410620833,0.21061880626665144,0.14827818843938664
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,2,140,20,79,980,100,790,25,2,0.5,2.342719793319702,6.751728534698486,-0.10002441361247438,-0.03299169793717738,-0.02749831902286599,-0.011907981409351894
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,3,140,20,79,980,100,790,25,1,0.5151898734177215,2.3596885204315186,6.493865013122559,-0.05994893358019748,0.07068675872142194,0.03367681724329952,0.022263403656304914
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,4,140,20,79,980,100,790,42,22,0.5455696202531646,2.3045761585235596,6.797916412353516,0.026618714597165805,0.1792311452300055,0.1365678262654064,0.09499983075528737
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,5,140,20,79,980,100,790,32,12,0.47341772151898737,2.278808832168579,6.4952850341796875,-0.17179496944118577,-0.09611524316642317,-0.09687241495233584,-0.06710488024843571
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,6,140,20,79,980,100,790,25,4,0.45569620253164556,2.515280246734619,8.081167221069336,-0.37618876663346335,-0.005079998993096524,-0.05114573882919727,-0.03992654467149993
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,7,7,140,20,79,980,100,790,25,1,0.4759493670886076,2.146820306777954,6.251668930053711,-0.122071365629427,0.01443362916688784,0.009509650239712952,0.00625477978308816
