phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,2,140,20,78,700,100,780,25,1,0.6717948717948717,2.3033738136291504,6.809715270996094,0.09249539117191963,0.3870085101079894,0.41322802075180726,0.299468380727176
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,3,140,20,78,700,100,780,25,3,0.6807692307692308,2.4809954166412354,7.497326850891113,0.11321160881219383,0.4536313453427283,0.4619422204530236,0.34258421863395055
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,4,140,20,78,700,100,780,33,13,0.5948717948717949,2.538193941116333,7.993010520935059,0.00196041664301827,0.3396190279900111,0.31895490611726346,0.2323081313780259
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,5,140,20,78,700,100,780,25,1,0.6743589743589744,2.2544162273406982,6.524755477905273,0.08986123319967565,0.44707606053543714,0.42751525979130317,0.30962995172140284
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,6,140,20,78,700,100,780,32,12,0.6743589743589744,2.4123101234436035,7.104150295257568,0.10506782013111438,0.45073051772851613,0.4528080585011917,0.33623333428772195
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,7,140,20,78,700,100,780,25,1,0.6871794871794872,2.5032331943511963,7.610558032989502,-0.11173475120804022,0.4037521785576246,0.45232658540114373,0.32617166279457177
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,8,140,20,78,700,100,780,31,11,0.732051282051282,2.4401490688323975,7.315125942230225,0.10775398584882079,0.5107104584167246,0.5465939740610813,0.4008517088325806
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,9,140,20,78,700,100,780,25,2,0.7743589743589744,2.373119354248047,7.077367305755615,0.16876694467216202,0.7059256142429149,0.7127676611409457,0.5259443719314313
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,6,0,140,20,78,840,100,780,25,5,0.6448717948717949,2.3758299350738525,7.125478267669678,0.10748158786435069,0.4596664119453635,0.43594152065209846,0.30986631049759433
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,6,1,140,20,78,840,100,780,25,4,0.6974358974358974,2.0241734981536865,5.573906421661377,0.22206719481736592,0.5579404149902984,0.5611271885624233,0.4114719008395093
